gene_symbol	wikipedia_daily_page_views	wikipedia_daily_page_views_change_from_previous_day	view_rank	view_rank_delta
UTY	43	42	347	-123
COL1A1	42	25	348	20
THBS1	42	19	349	137
IDO1	42	53	350	-194
CSF1	42	20	351	118
CTCF	42	20	352	118
HPRT1	42	41	353	-125
UCP1	42	16	354	225
APP	41	30	355	-46
HLA-A	41	30	356	-46
GSK3B	41	30	357	-46
SLC6A3	41	34	358	-79
HRAS	41	34	359	-79
TNFRSF11B	41	32	360	-67
CCR2	41	18	361	145
F12	41	23	362	44
LOX	41	38	363	-112
EP300	40	8	364	626
NFKBIA	40	26	365	-11
WT1	40	18	366	139
H2AFX	40	24	367	18
TNFSF13B	40	19	368	121
CALR	40	12	369	369
KLRK1	40	11	370	424
DICER1	40	26	371	-13
IL5	40	15	372	233
CD63	40	21	373	67
UNG	40	27	374	-28
PTGER4	40	8	375	657
RORC	40	10	376	503
BMP2	39	22	377	37
NF1	39	11	378	408
ITGAM	39	20	379	85
THBD	39	21	380	57
CNR2	39	24	381	10
THPO	39	25	382	-8
C1QB	39	21	383	65
PEG10	39	35	384	-109
ATM	38	26	385	-34
IL17A	38	13	386	283
PGR	38	27	387	-48
TLR9	38	26	388	-33
PLAU	38	37	389	-133
TLR3	38	27	390	-49
LGALS3	38	20	391	68
EGR1	38	18	392	115
S100B	38	22	393	23
GBA	38	24	394	-8
RPS6KB1	38	37	395	-137
FGF23	38	22	396	21
BCL6	38	5	397	1041
DLG4	38	19	398	96
TERF2	38	0	399	5857
CSF1R	38	24	400	-10
SWI5	38	23	401	8
CDH1	37	19	402	77
JAK2	37	29	403	-83
CFH	37	23	404	-7
HGF	37	26	405	-52
POU5F1	37	23	406	-7
SOX2	37	34	407	-126
MYB	37	11	408	388
PALB2	37	18	409	109
UMOD	37	22	410	14
PDE5A	37	25	411	-35
CRY1	37	34	412	-127
OPN4	37	25	413	-34
RTP5	37	32	414	-113
NOTO	37	34	415	-129
ESR2	36	15	416	178
FTO	36	36	417	-153
CTGF	36	19	418	67
ADAM17	36	18	419	90
BACE1	36	20	420	43
DKK1	36	12	421	318
IL21	36	14	422	222
GATA3	36	13	423	260
CX3CR1	36	26	424	-65
CCL3	36	28	425	-92
TSLP	36	35	426	-154
F11	36	12	427	322
FGF21	36	20	428	44
TNFRSF4	36	8	429	633
SYP	36	18	430	92
TMEM173	36	24	431	-37
KLRG1	36	17	432	121
MMP2	35	18	433	68
F5	35	21	434	0
APOA1	35	31	435	-131
VHL	35	17	436	94
TNFRSF1A	35	11	437	342
EZH2	35	20	438	19
PROM1	35	20	439	22
SELP	35	14	440	195
YAP1	35	21	441	-3
CCL17	35	9	442	514
TREM2	35	8	443	636
CRBN	35	11	444	374
ESR1	34	24	445	-65
MMP1	34	17	446	81
LDLR	34	50	447	-273
TIMP1	34	17	448	83
ALDH2	34	31	449	-144
HSPA5	34	13	450	224
SDC1	34	14	451	191
PKM	34	17	452	84
F9	34	15	453	151
CD9	34	16	454	117
TUBB3	34	10	455	396
DNASE1	34	18	456	65
CD52	34	17	457	95
GYS2	34	37	458	-197
SP1	33	18	459	44
CD40LG	33	12	460	271
KEAP1	33	18	461	51
SLC6A2	33	29	462	-137
CD5	33	15	463	156
KCNJ1	33	25	464	-87
FNDC5	33	9	465	512
PVALB	33	19	466	34
HBB	32	22	467	-56
PPARA	32	22	468	-55
IDH1	32	14	469	165
CCR7	32	22	470	-50
PRF1	32	17	471	70
WEE1	32	13	472	230
ITGAX	32	13	473	236
CCL19	32	10	474	401
STRAP	32	22	475	-45
ITGAE	32	6	476	896
PLAA	32	41	477	-248
MELK	32	29	478	-150
SIAE	32	26	479	-113
AVIL	32	22	480	-47
BIRC5	31	13	481	186
PARP1	31	28	482	-152
RHOA	31	11	483	293
MUC1	31	13	484	186
SELE	31	12	485	248
EIF2AK2	31	26	486	-129
FLG	31	20	487	-22
SOX9	31	21	488	-52
CXCR3	31	13	489	197
KL	31	15	490	117
TNFRSF8	31	23	491	-86
SLC5A2	31	12	492	280
VDR	30	19	493	-15
ITGB1	30	19	494	-13
ABCA1	30	21	495	-60
FOXO3	30	29	496	-173
BMP4	30	16	497	67
TBX21	30	17	498	44
HK2	30	9	499	456
GSR	30	17	500	47
ANGPTL3	30	5	501	1069
CS	30	32	502	-202
DHODH	30	17	503	48
UOX	30	8	504	591
RELA	29	32	505	-216
MBL2	29	26	506	-154
PTK2	29	12	507	219
MMP3	29	20	508	-54
CYP17A1	29	25	509	-140
BSG	29	9	510	398
LRP1	29	12	511	224
IRF3	29	15	512	87
FBN1	29	14	513	124
ADORA2A	29	32	514	-217
PAX6	29	20	515	-49
PTGS1	29	31	516	-210
CD81	29	14	517	129
IL6ST	29	12	518	225
CHGA	29	13	519	170
NRP1	29	16	520	48
C9orf72	29	18	521	-7
AVPR2	29	30	522	-205
NT5E	29	13	523	183
NOG	29	10	524	350
CSH2	29	27	525	-178
MALL	29	72	526	-424
CDK1	28	12	527	198
LMNA	28	13	528	143
IRS1	28	30	529	-216
F7	28	13	530	145
MC4R	28	30	531	-217
TFRC	28	14	532	108
TJP1	28	14	533	115
SNAP25	28	11	534	264
PAPPA	28	25	535	-162
CYP27B1	28	21	536	-95
AXL	28	14	537	118
DNM1L	28	10	538	318
CR2	28	13	539	161
BRD4	28	21	540	-96
EDAR	28	16	541	46
LIPI	28	7	542	687
NFKB1	27	4	543	1141
RAC1	27	17	544	-18
AGTR1	27	23	545	-149
GRB2	27	16	546	12
EDN1	27	17	547	-18
SOD2	27	14	548	83
STAT1	27	19	549	-67
FLT3	27	15	550	46
MIF	27	13	551	122
IL4R	27	4	552	1141
CX3CL1	27	12	553	193
AICDA	27	21	554	-115
AIRE	27	26	555	-194
GPX4	27	8	556	501
GPR55	27	8	557	501
MAP2	27	12	558	201
NRF1	27	6	559	770
CXCL2	27	16	560	23
ROS1	27	16	561	23
CD22	27	9	562	408
DERL1	27	6	563	783
ROR1	27	9	564	412
SERPINA7	27	20	565	-91
IL31	27	9	566	415
MGLL	27	11	567	252
RAD51	26	20	568	-112
MCL1	26	12	569	163
CEBPB	26	9	570	340
SQSTM1	26	17	571	-39
NAMPT	26	24	572	-188
TGM2	26	18	573	-65
SNAI1	26	9	574	339
NR1I2	26	7	575	547
RIPK1	26	18	576	-66
ANXA1	26	13	577	107
TGFA	26	11	578	219
XBP1	26	16	579	-6
CCL20	26	8	580	448
SOST	26	22	581	-158
HAVCR2	26	13	582	113
IL3	26	15	583	31
RPS6	26	9	584	358
SLC40A1	26	12	585	166
ADORA1	26	21	586	-140
PLN	26	21	587	-140
APOL1	26	34	588	-304
MAP1LC3B	26	24	589	-197
AGRP	26	21	590	-140
NCEH1	26	0	591	11077
LTV1	26	17	592	-37
HLA-B	25	24	593	-212
NOS3	25	22	594	-184
CDKN1B	25	14	595	32
IGF2	25	20	596	-141
CHEK2	25	15	597	0
KMT2A	25	10	598	232
TBP	25	24	599	-216
EPAS1	25	13	600	77
CBS	25	12	601	136
CTSB	25	14	602	39
DAXX	25	5	603	847
EPOR	25	8	604	408
HSD11B1	25	20	605	-137
DCN	25	8	606	417
LIF	25	20	607	-136
TBK1	25	13	608	84
VCL	25	7	609	533
IFIH1	25	13	610	84
AREG	25	14	611	45
TRPV4	25	8	612	424
NEFL	25	9	613	337
CXCL13	25	16	614	-36
SOX10	25	8	615	438
TRPM8	25	23	616	-208
GHRH	25	28	617	-281
CD200	25	10	618	260
SLC2A5	25	16	619	-28
LIPN	25	18	620	-96
CETP	24	11	621	159
CD209	24	19	622	-135
CASR	24	19	623	-135
RUNX2	24	20	624	-162
TNNT2	24	5	625	816
HLA-E	24	6	626	624
MEN1	24	10	627	210
CYP2B6	24	6	628	624
SCARB1	24	10	629	211
CDH2	24	16	630	-63
EEF1A1	24	20	631	-164
CD55	24	15	632	-26
GDF15	24	14	633	19
PDPK1	24	16	634	-62
CDH5	24	13	635	58
NR0B1	24	10	636	219
MCAM	24	18	637	-120
OSM	24	10	638	224
PRDM1	24	9	639	314
CD2	24	9	640	320
TSPO	24	6	641	675
TMSB4X	24	36	642	-375
CD79A	24	7	643	547
CNTNAP1	24	8	644	444
EMX1	24	2	645	3015
SUCO	24	30	646	-328
RTP1	24	21	647	-196
GPR75	24	10	648	249
CYP1A1	23	18	649	-147
CREBBP	23	17	650	-122
LTA	23	11	651	130
RUNX1	23	11	652	131
MTR	23	9	653	256
PLCG1	23	7	654	457
ADRA2A	23	13	655	32
COL3A1	23	27	656	-312
MITF	23	6	657	605
GAA	23	13	658	38
DES	23	17	659	-116
IL2RG	23	7	660	504
AXIN2	23	5	661	877
SERPINF2	23	4	662	1170
ACLY	23	7	663	513
CCR4	23	7	664	523
AVPR1A	23	35	665	-391
TEAD1	23	6	666	704
MSH2	22	14	667	-38
MGMT	22	13	668	4
XIAP	22	10	669	159
HSPD1	22	35	670	-400
DRD3	22	32	671	-375
P2RX7	22	7	672	448
SPARC	22	10	673	169
NR1H4	22	22	674	-253
NANOG	22	10	675	174
OCLN	22	9	676	255
MX1	22	7	677	466
NPC1	22	5	678	811
IL27	22	6	679	615
IL11	22	8	680	360
DYRK1A	22	13	681	17
GHSR	22	16	682	-105
PTGER2	22	10	683	177
RAG1	22	13	684	20
CD99	22	13	685	25
CCL7	22	13	686	25
PNPLA2	22	2	687	2241
LALBA	22	19	688	-190
AOC1	22	12	689	80
MYH6	22	2	690	2492
PIEZO1	22	10	691	197
EMR1	22	11	692	131
OR6A2	22	13	693	31
HLA-DRB1	21	31	694	-392
MLH1	21	10	695	129
LEPR	21	12	696	33
CDC42	21	19	697	-214
CLU	21	11	698	87
CHEK1	21	2	699	1955
LCN2	21	16	700	-139
TSHR	21	7	701	413
ADM	21	16	702	-137
GHR	21	14	703	-64
CTSD	21	15	704	-103
PINK1	21	23	705	-305
ABO	21	15	706	-103
CASP1	21	26	707	-347
KISS1	21	27	708	-363
CD46	21	17	709	-170
MBP	21	23	710	-307
CFB	21	7	711	428
LCAT	21	14	712	-58
ALDOA	21	18	713	-197
HEXA	21	19	714	-219
SORT1	21	8	715	327
OPRD1	21	9	716	238
ENTPD1	21	14	717	-56
FAP	21	4	718	1152
NPM1	20	6	719	516
CYP3A5	20	6	720	516
APOBEC3G	20	6	721	516
FYN	20	27	722	-382
PTPN22	20	3	723	1339
ITGB2	20	11	724	60
RETN	20	14	725	-92
FGFR3	20	23	726	-328
ADAM10	20	12	727	15
TCF3	20	4	728	1005
CD59	20	13	729	-38
MYOD1	20	9	730	206
REST	20	10	731	119
S1PR1	20	8	732	307
LAMP2	20	5	733	773
DRD5	20	25	734	-359
CXCL5	20	5	735	797
CD244	20	8	736	324
