gene_symbol	wikipedia_daily_page_views	wikipedia_daily_page_views_change_from_previous_day	view_rank	view_rank_delta
RPIA	0	0	11488	-272
PTGR1	0	0	11489	-272
PLCH1	0	0	11490	-272
KIF21B	0	0	11491	-272
ZHX3	0	0	11492	-272
SETD1B	0	0	11493	-272
ANKLE2	0	0	11494	-272
ACSBG1	0	0	11495	-272
ARC	0	0	11496	-272
MTCL1	0	0	11497	-272
CAMSAP2	0	0	11498	-272
RRP8	0	0	11499	-272
CAPN7	0	0	11500	-272
CLCF1	0	3	11501	-8905
CHST5	0	0	11502	-272
ELP5	0	0	11503	-272
HEBP2	0	0	11504	-272
MKRN2	0	0	11505	-272
TBC1D22A	0	0	11506	-272
FAM98A	0	0	11507	-272
RWDD3	0	0	11508	-272
TBC1D10B	0	0	11509	-272
FAM32A	0	0	11510	-272
PHF19	0	0	11511	-272
FBXO10	0	0	11512	-272
CLDN17	0	0	11513	-272
NAAA	0	0	11514	-269
NFU1	0	0	11515	-269
GOLIM4	0	0	11516	-269
SLCO4A1	0	0	11517	-268
UQCR10	0	0	11518	-267
UBN1	0	0	11519	-267
SNX10	0	0	11520	-267
HOOK2	0	0	11521	-267
RPA4	0	2	11522	-7913
PADI1	0	3	11523	-8926
HUNK	0	0	11524	-268
TAS2R4	0	2	11525	-7915
TPRKB	0	0	11526	-269
TMED7	0	0	11527	-269
TMX2	0	0	11528	-269
ZDHHC2	0	0	11529	-269
C1RL	0	0	11530	-268
NME8	0	0	11531	-268
RSRC1	0	0	11532	-268
MEX3C	0	0	11533	-268
MRPS17	0	1	11534	-5910
PHF7	0	0	11535	-269
OTUD6B	0	1	11536	-5911
DHRS7	0	0	11537	-270
MSRB1	0	0	11538	-269
CDHR5	0	0	11539	-268
GPR85	0	1	11540	-5914
RBM27	0	0	11541	-269
CCDC93	0	0	11542	-269
MRPL50	0	0	11543	-269
GNB1L	0	1	11544	-5917
LZTFL1	0	0	11545	-269
FEV	0	0	11546	-269
NSMCE4A	0	0	11547	-269
WBP1L	0	0	11548	-269
GPATCH4	0	0	11549	-269
FOCAD	0	0	11550	-269
LPCAT2	0	0	11551	-269
PPP2R3C	0	1	11552	-5923
LRRC8D	0	0	11553	-269
FAIM	0	0	11554	-269
LRRC20	0	0	11555	-269
BRF2	0	0	11556	-269
CCDC91	0	0	11557	-269
STRADB	0	0	11558	-268
ENOSF1	0	0	11559	-268
UBE2Q1	0	0	11560	-268
LRRC40	0	0	11561	-268
SLC30A6	0	0	11562	-268
KANSL3	0	0	11563	-268
MAP7D1	0	0	11564	-268
TENM3	0	0	11565	-268
POLR3E	0	0	11566	-268
IFT122	0	0	11567	-268
DBNDD2	0	1	11568	-5937
AJAP1	0	0	11569	-269
PANX2	0	0	11570	-269
DUS3L	0	0	11571	-269
CDC42SE2	0	0	11572	-269
PDXP	0	0	11573	-269
TWSG1	0	0	11574	-269
PLSCR3	0	0	11575	-269
TRPC7	0	1	11576	-5942
INTS12	0	0	11577	-270
RALGAPB	0	0	11578	-269
ACTR3B	0	0	11579	-269
TENM2	0	0	11580	-269
KIAA1377	0	0	11581	-269
SLAIN2	0	0	11582	-269
BEND3	0	0	11583	-269
LRRC4C	0	0	11584	-269
SCUBE2	0	0	11585	-269
GRHL3	0	0	11586	-269
C12orf10	0	0	11587	-268
FAM3A	0	0	11588	-268
MRPL17	0	0	11589	-268
MRPS14	0	0	11590	-268
FKBPL	0	0	11591	-268
SAMSN1	0	0	11592	-268
ATL2	0	0	11593	-268
ARAP3	0	0	11594	-267
SPANXC	0	0	11595	-267
LMF1	0	0	11596	-267
MRPL14	0	0	11597	-266
MRPL32	0	0	11598	-266
TMEM237	0	0	11599	-266
STK33	0	0	11600	-266
DDRGK1	0	0	11601	-266
NOC4L	0	0	11602	-266
TMEM109	0	0	11603	-266
DCTPP1	0	0	11604	-266
ZXDC	0	0	11605	-265
FCRL2	0	0	11606	-265
PAGR1	0	0	11607	-265
PANK3	0	0	11608	-265
RHBDF2	0	0	11609	-265
TBC1D17	0	0	11610	-265
ZFHX4	0	0	11611	-265
SUGCT	0	0	11612	-265
SLTM	0	0	11613	-265
MMRN2	0	0	11614	-265
CAAP1	0	0	11615	-264
TNIP3	0	0	11616	-264
NRSN2	0	0	11617	-264
ASRGL1	0	0	11618	-264
GRPEL1	0	0	11619	-263
RNF39	0	1	11620	-5984
TTYH3	0	0	11621	-263
APOL6	0	0	11622	-263
WBSCR16	0	0	11623	-263
LMAN2L	0	0	11624	-263
ISCA1	0	0	11625	-262
DOHH	0	0	11626	-261
ZRANB3	0	0	11627	-260
WDR75	0	0	11628	-260
EVA1A	0	0	11629	-260
GTF2IRD2	0	0	11630	-260
DCUN1D5	0	0	11631	-260
FAM213A	0	0	11632	-260
COL25A1	0	1	11633	-5995
FAM126A	0	0	11634	-260
USP32	0	0	11635	-260
PLEKHA8	0	0	11636	-260
ZNRF1	0	0	11637	-259
PRPF38A	0	0	11638	-259
EAF1	0	0	11639	-259
DNAJC14	0	0	11640	-259
CNTNAP4	0	1	11641	-6002
FATE1	0	0	11642	-260
TICRR	0	0	11643	-260
KNSTRN	0	0	11644	-260
DHX57	0	0	11645	-260
FMNL3	0	0	11646	-260
DERL3	0	0	11647	-260
ACBD5	0	0	11648	-260
C12orf65	0	0	11649	-260
ZNF300	0	0	11650	-259
INTS4	0	0	11651	-259
DTD1	0	0	11652	-258
MVB12A	0	0	11653	-258
SAAL1	0	0	11654	-258
CHST14	0	3	11655	-9056
LRRC58	0	0	11656	-256
SH2D1B	0	0	11657	-256
SFXN2	0	0	11658	-256
SFXN4	0	0	11659	-256
AGBL1	0	0	11660	-256
IQGAP3	0	0	11661	-256
APOA1BP	0	0	11662	-256
UBLCP1	0	0	11663	-256
HINT3	0	0	11664	-256
RNF32	0	0	11665	-255
TCEAL2	0	0	11666	-255
SLC34A3	0	0	11667	-255
FAM76B	0	0	11668	-255
WDR66	0	0	11669	-255
NFXL1	0	0	11670	-252
SH3RF2	0	0	11671	-252
NKAIN2	0	0	11672	-252
FAM84B	0	0	11673	-252
ZNF366	0	3	11674	-9074
TXLNB	0	0	11675	-253
BMPER	0	0	11676	-253
NSMCE1	0	0	11677	-253
U2AF1L4	0	0	11678	-253
FBXO15	0	0	11679	-253
USP12	0	0	11680	-253
MRPL21	0	0	11681	-253
SKA1	0	0	11682	-253
SLC16A9	0	0	11683	-253
KDM1B	0	0	11684	-253
DAGLB	0	0	11685	-253
THSD7A	0	0	11686	-253
SPDYA	0	0	11687	-253
ATP6V1C2	0	0	11688	-253
RNF169	0	0	11689	-253
MCM9	0	0	11690	-253
RASSF3	0	0	11691	-252
PGP	0	0	11692	-252
RAB37	0	0	11693	-252
CLEC4G	0	0	11694	-251
NACA2	0	0	11695	-251
TGM6	0	0	11696	-251
GEN1	0	0	11697	-251
COA6	0	1	11698	-6052
USP17L6P	0	0	11699	-252
MIR129-2	0	0	11700	-252
MIR15B	0	0	11701	-252
MIR181C	0	0	11702	-252
MIR184	0	0	11703	-252
MIR193A	0	0	11704	-252
MIR215	0	0	11705	-252
MIR135B	0	0	11706	-252
ANXA8	0	0	11707	-252
PRB2	0	0	11708	-252
ANXA8L1	0	0	11709	-252
USP17L24	0	0	11710	-252
USP17L25	0	0	11711	-252
USP17L26	0	0	11712	-252
USP17L27	0	0	11713	-252
USP17L28	0	0	11714	-252
USP17L29	0	0	11715	-252
USP17L30	0	0	11716	-252
USP17L10	0	0	11717	-252
USP17L11	0	0	11718	-252
USP17L12	0	0	11719	-252
USP17L13	0	0	11720	-252
USP17L17	0	0	11721	-252
USP17L18	0	0	11722	-252
USP17L19	0	0	11723	-252
USP17L20	0	0	11724	-252
USP17L21	0	0	11725	-252
USP17L22	0	0	11726	-252
USP17L15	0	0	11727	-252
VPS51	0	0	11728	-252
MPPED2	0	0	11729	-252
CAPN6	0	0	11730	-252
EIF2D	0	0	11731	-251
GAGE1	0	0	11732	-251
GGT5	0	2	11733	-8117
HNF4G	0	0	11734	-251
ICT1	0	0	11735	-251
VWA5A	0	0	11736	-250
LSAMP	0	0	11737	-250
MIPEP	0	0	11738	-249
MPP3	0	0	11739	-249
NDUFB3	0	0	11740	-249
NEK3	0	1	11741	-6091
OAZ2	0	0	11742	-250
OR1D2	0	0	11743	-250
PF4V1	0	0	11744	-250
PHF2	0	0	11745	-250
PMP2	0	1	11746	-6095
PRH2	0	0	11747	-251
PTPN4	0	0	11748	-249
RNASE4	0	0	11749	-249
RNF6	0	0	11750	-249
ST5	0	0	11751	-246
NEK4	0	0	11752	-246
SYT5	0	0	11753	-246
TULP3	0	0	11754	-245
ZAN	0	0	11755	-245
ZNF74	0	0	11756	-244
ZNF76	0	0	11757	-244
ZNF133	0	0	11758	-244
ZNF174	0	0	11759	-244
ZNF230	0	0	11760	-244
DNALI1	0	0	11761	-244
RNF103	0	0	11762	-244
AKAP17A	0	0	11763	-244
BFSP2	0	0	11764	-244
NSMAF	0	0	11765	-244
B4GALT4	0	2	11766	-8148
B3GALT2	0	0	11767	-243
NOL4	0	0	11768	-243
CDK5R2	0	1	11769	-6111
SLC13A2	0	0	11770	-242
SLC33A1	0	0	11771	-242
BCL7C	0	0	11772	-242
TGFBRAP1	0	0	11773	-242
PCYT1B	0	0	11774	-242
THEMIS2	0	0	11775	-242
GAL3ST1	0	0	11776	-242
CIR1	0	0	11777	-242
PPIP5K1	0	0	11778	-242
EMC2	0	0	11779	-242
TRAM2	0	1	11780	-6120
IFT140	0	1	11781	-6120
JADE3	0	0	11782	-244
URB2	0	0	11783	-244
HS3ST3B1	0	0	11784	-243
TSPAN3	0	0	11785	-243
ARFRP1	0	1	11786	-6123
TIMM17B	0	0	11787	-244
EFS	0	0	11788	-244
ZNF267	0	0	11789	-243
BTN3A3	0	0	11790	-242
IFI44	0	0	11791	-242
DCTN6	0	0	11792	-242
ZNF274	0	1	11793	-6128
TSPAN9	0	0	11794	-243
CD300C	0	0	11795	-243
ME3	0	0	11796	-243
PRSS21	0	0	11797	-243
OIP5	0	0	11798	-241
CEP162	0	0	11799	-241
CPEB3	0	0	11800	-241
MLXIP	0	0	11801	-241
ANKRD6	0	0	11802	-241
BTBD3	0	0	11803	-241
ZP1	0	1	11804	-6138
SV2C	0	0	11805	-242
EXPH5	0	0	11806	-242
SSPO	0	1	11807	-6140
ATP11B	0	0	11808	-242
DENND5A	0	0	11809	-242
KIAA0930	0	0	11810	-242
AHCYL2	0	0	11811	-242
MAU2	0	0	11812	-242
TDRD7	0	0	11813	-242
SLC35A3	0	0	11814	-242
CES3	0	0	11815	-242
RUSC1	0	0	11816	-242
FLRT2	0	1	11817	-6148
NDUFAF3	0	0	11818	-243
PTCD1	0	0	11819	-242
FAM127B	0	0	11820	-242
DCAF4	0	0	11821	-242
EPC2	0	0	11822	-242
TRAF3IP1	0	0	11823	-242
IFT172	0	0	11824	-242
TIAM2	0	0	11825	-242
FBXO25	0	0	11826	-242
ERAL1	0	0	11827	-242
NUFIP1	0	0	11828	-241
RPS6KC1	0	2	11829	-8209
RANBP6	0	0	11830	-242
ST6GALNAC4	0	1	11831	-6161
CYTH4	0	0	11832	-243
FILIP1	0	0	11833	-243
NDOR1	0	2	11834	-8213
IL17B	0	0	11835	-244
ARHGEF16	0	0	11836	-244
NKIRAS1	0	0	11837	-243
LAMTOR2	0	0	11838	-243
CCDC59	0	0	11839	-243
CLDN20	0	2	11840	-8218
HDGFRP3	0	1	11841	-6168
TAS2R13	0	2	11842	-8219
MTERF3	0	0	11843	-243
TXNDC11	0	0	11844	-242
PHF20L1	0	0	11845	-242
UTP11L	0	0	11846	-242
TRIM17	0	0	11847	-242
CYB5R4	0	1	11848	-6174
ACP6	0	1	11849	-6174
RAB9B	0	0	11850	-244
C6orf203	0	0	11851	-243
RNF181	0	0	11852	-243
MRPL27	0	0	11853	-243
CHST15	0	0	11854	-242
SCARA3	0	0	11855	-241
RNF138	0	0	11856	-241
GSKIP	0	0	11857	-241
ZCCHC17	0	0	11858	-241
GDE1	0	0	11859	-241
DPH5	0	0	11860	-241
CCZ1	0	0	11861	-241
TMBIM4	0	1	11862	-6185
UPB1	0	0	11863	-242
TM7SF3	0	0	11864	-242
GALNT7	0	0	11865	-242
NUDT9	0	0	11866	-242
RAB24	0	0	11867	-242
FAM134B	0	0	11868	-242
NLE1	0	1	11869	-6191
NECAB2	0	0	11870	-243
P4HTM	0	0	11871	-243
EPDR1	0	0	11872	-243
ZRANB1	0	0	11873	-243
ELP6	0	0	11874	-242
DUS2	0	0	11875	-242
RASIP1	0	0	11876	-242
UCKL1	0	0	11877	-241
ANO10	0	0	11878	-239
MRPS18A	0	0	11879	-239
SEC61A2	0	0	11880	-239
SBNO1	0	0	11881	-239
TMEM57	0	0	11882	-239
PNMAL1	0	0	11883	-239
TYW1	0	0	11884	-239
FGGY	0	0	11885	-239
KLHL26	0	0	11886	-239
DDX19A	0	0	11887	-239
STK32B	0	0	11888	-239
TBC1D2	0	0	11889	-239
C17orf85	0	0	11890	-239
SIRPG	0	0	11891	-239
PNRC2	0	0	11892	-239
G2E3	0	0	11893	-239
YEATS2	0	0	11894	-238
ZFP64	0	0	11895	-238
UGGT2	0	0	11896	-237
RNF130	0	0	11897	-237
PECR	0	1	11898	-6214
CENPN	0	1	11899	-6214
LMO3	0	1	11900	-6214
UBFD1	0	0	11901	-240
PCDHB10	0	0	11902	-240
RPRM	0	0	11903	-240
TMEM9B	0	0	11904	-240
EMC7	0	0	11905	-240
C15orf39	0	1	11906	-6219
ENY2	0	0	11907	-241
KIAA1191	0	0	11908	-241
SYT13	0	0	11909	-240
ZBTB4	0	0	11910	-239
WDR19	0	0	11911	-239
GATAD1	0	0	11912	-239
CYP4F11	0	0	11913	-239
ARHGAP22	0	0	11914	-239
SCOC	0	0	11915	-239
DHX35	0	0	11916	-239
GAS5	0	0	11917	-239
SLC22A23	0	0	11918	-239
FIGNL1	0	0	11919	-239
PBLD	0	0	11920	-239
GREM2	0	0	11921	-237
EBF2	0	0	11922	-237
CEP85	0	0	11923	-237
RMND5A	0	0	11924	-237
C12orf43	0	0	11925	-237
AGXT2	0	1	11926	-6237
LYNX1	0	0	11927	-238
SLC2A11	0	1	11928	-6238
ERI3	0	0	11929	-239
RBM42	0	0	11930	-239
IRX1	0	1	11931	-6239
SPAG16	0	0	11932	-240
CAMKMT	0	0	11933	-239
KDM8	0	0	11934	-239
CSPP1	0	0	11935	-239
CCDC134	0	0	11936	-239
NOL10	0	0	11937	-239
SVEP1	0	0	11938	-239
UBTD1	0	0	11939	-239
CHD9	0	0	11940	-239
FHOD3	0	0	11941	-239
C17orf70	0	0	11942	-239
C2orf44	0	0	11943	-239
KIAA1683	0	0	11944	-239
THAP7	0	0	11945	-239
STARD5	0	2	11946	-8319
EGFL8	0	0	11947	-240
MOB2	0	0	11948	-240
DYNLRB2	0	0	11949	-239
SLA2	0	0	11950	-239
ZCCHC7	0	0	11951	-239
FYTTD1	0	0	11952	-239
WDR83	0	0	11953	-239
UQCC2	0	0	11954	-239
ACSS1	0	0	11955	-239
CREB3L3	0	0	11956	-238
USMG5	0	0	11957	-238
AQP10	0	0	11958	-237
TRIM47	0	0	11959	-237
ATPAF2	0	0	11960	-237
CHMP7	0	0	11961	-237
MRRF	0	0	11962	-237
UBE2Q2	0	0	11963	-237
DMKN	0	0	11964	-237
MMGT1	0	0	11965	-237
SCAMP4	0	0	11966	-237
HELQ	0	0	11967	-237
LENG8	0	0	11968	-236
OSBPL7	0	0	11969	-236
C1QTNF6	0	0	11970	-236
ATG4A	0	1	11971	-6271
BATF2	0	0	11972	-237
THEM4	0	0	11973	-237
UBE2J2	0	0	11974	-236
ZFYVE27	0	3	11975	-9366
SLC51B	0	0	11976	-236
WDR81	0	0	11977	-236
MIEF2	0	0	11978	-236
RNF19B	0	0	11979	-236
CST9L	0	1	11980	-6279
ZFAND2B	0	0	11981	-237
ADAD1	0	0	11982	-237
GAB3	0	0	11983	-235
CBLN4	0	0	11984	-235
HECTD2	0	0	11985	-235
CACUL1	0	0	11986	-235
10-Sep	0	0	11987	-235
ZNF827	0	0	11988	-235
JAKMIP1	0	0	11989	-235
FAM122B	0	0	11990	-235
NOP9	0	0	11991	-235
DEDD2	0	0	11992	-235
SCAMP5	0	0	11993	-234
ZFC3H1	0	0	11994	-234
NLRP11	0	0	11995	-234
ORAOV1	0	0	11996	-234
ZUFSP	0	0	11997	-234
C6orf89	0	1	11998	-6295
LEMD2	0	0	11999	-235
LRWD1	0	0	12000	-235
KCTD20	0	0	12001	-235
CTAG1A	0	0	12002	-235
CDY1B	0	0	12003	-235
LCLAT1	0	0	12004	-235
ZDHHC20	0	0	12005	-235
ELMOD2	0	0	12006	-235
NUTM1	0	0	12007	-235
POC1B	0	0	12008	-233
TSEN54	0	0	12009	-233
IFNE	0	0	12010	-233
ANKRD13D	0	0	12011	-233
RXFP4	0	0	12012	-233
SLC35B2	0	0	12013	-232
NIPAL4	0	0	12014	-232
CEP85L	0	1	12015	-6309
FAM21A	0	0	12016	-233
SNX19	0	0	12017	-233
MED11	0	0	12018	-233
MIRLET7A2	0	0	12019	-233
MIRLET7I	0	0	12020	-233
MIR199B	0	0	12021	-233
MIR211	0	0	12022	-233
MIR296	0	0	12023	-233
MIR9-3	0	0	12024	-233
PGAM4	0	0	12025	-233
MIR342	0	0	12026	-233
MIR372	0	0	12027	-233
PALM2-AKAP2	0	0	12028	-233
TRIM72	0	0	12029	-233
BOLA2	0	0	12030	-233
LOC643387	0	0	12031	-233
MIR675	0	0	12032	-233
PLA2G4B	0	0	12033	-233
AK6	0	0	12034	-233
MYRF	0	0	12035	-233
S100G	0	0	12036	-233
CHI3L2	0	0	12037	-232
COX11	0	0	12038	-231
EML1	0	0	12039	-231
GUCA1B	0	0	12040	-230
INSL4	0	1	12041	-6331
IPP	0	0	12042	-231
KCND1	0	0	12043	-231
MAGEA9	0	0	12044	-230
MAGEB1	0	0	12045	-230
MLLT6	0	0	12046	-230
NELL2	0	1	12047	-6335
NIT1	0	0	12048	-231
PIGH	0	0	12049	-230
POU6F1	0	0	12050	-230
PSG7	0	0	12051	-230
RSC1A1	0	0	12052	-229
ST3GAL2	0	0	12053	-229
SLC1A7	0	0	12054	-229
SLC9A5	0	1	12055	-6340
CAPN15	0	0	12056	-230
SSX5	0	0	12057	-230
SYCP1	0	0	12058	-230
TAL2	0	2	12059	-8425
TCTA	0	0	12060	-231
TM7SF2	0	0	12061	-231
ZNF22	0	1	12062	-6345
RASSF7	0	0	12063	-230
ZNF239	0	0	12064	-230
ZNF282	0	0	12065	-229
DOC2B	0	0	12066	-229
PPFIA3	0	0	12067	-229
B3GALT1	0	0	12068	-229
FBP2	0	0	12069	-229
BAIAP3	0	0	12070	-229
NEURL1	0	0	12071	-227
SLC24A1	0	0	12072	-227
ITGBL1	0	0	12073	-225
SLC4A8	0	0	12074	-225
ENTPD4	0	0	12075	-225
FEZF2	0	0	12076	-225
RALGPS1	0	0	12077	-225
TTC37	0	0	12078	-225
ZNF536	0	0	12079	-225
RNF144A	0	1	12080	-6360
TRIM14	0	0	12081	-225
C2CD5	0	0	12082	-225
LRIG2	0	0	12083	-225
KLHL21	0	0	12084	-225
TMCC2	0	0	12085	-225
LPGAT1	0	0	12086	-225
INSL5	0	0	12087	-223
HMGXB4	0	0	12088	-223
CST8	0	0	12089	-223
RWDD2B	0	0	12090	-223
TSSC4	0	0	12091	-223
FRY	0	0	12092	-223
PCGF3	0	0	12093	-223
CDC42EP2	0	0	12094	-223
ZER1	0	0	12095	-222
ZNHIT1	0	0	12096	-222
SLC22A7	0	1	12097	-6374
ARID5A	0	0	12098	-222
APOBEC2	0	0	12099	-222
SNRNP27	0	0	12100	-221
ADAMTS7	0	0	12101	-220
TREH	0	0	12102	-220
PTENP1	0	0	12103	-220
NRM	0	0	12104	-220
LYPLA2	0	0	12105	-220
MTF2	0	0	12106	-220
FNDC3A	0	0	12107	-220
SEPHS2	0	0	12108	-219
ZSWIM8	0	0	12109	-218
CMTR1	0	0	12110	-218
DCUN1D4	0	0	12111	-218
TBC1D9	0	0	12112	-218
PLCL2	0	0	12113	-218
MTUS2	0	0	12114	-218
ATMIN	0	0	12115	-218
KHNYN	0	0	12116	-218
HAUS5	0	0	12117	-218
MED13L	0	0	12118	-218
ABCA6	0	0	12119	-218
ACAP2	0	0	12120	-218
KCNE1L	0	0	12121	-217
HYPK	0	0	12122	-217
RAB26	0	0	12123	-217
ARMC8	0	0	12124	-217
POC1A	0	0	12125	-217
ZDHHC5	0	0	12126	-217
ZNF521	0	0	12127	-217
NIPSNAP3A	0	0	12128	-217
NECAP1	0	0	12129	-217
ZZZ3	0	0	12130	-217
RPAP1	0	0	12131	-217
ACOT11	0	0	12132	-217
IPCEF1	0	0	12133	-217
PPP1R14B	0	0	12134	-217
MYEOV	0	0	12135	-217
MRPL46	0	0	12136	-217
DIEXF	0	0	12137	-217
MTBP	0	0	12138	-217
ATP5S	0	0	12139	-217
PRELID1	0	0	12140	-217
TOR1B	0	0	12141	-216
SPCS1	0	0	12142	-216
TMEM230	0	0	12143	-216
C6orf15	0	0	12144	-216
SPANXA1	0	0	12145	-216
ANO7	0	0	12146	-216
THAP4	0	0	12147	-216
RMDN1	0	0	12148	-216
TACO1	0	0	12149	-216
ZNF219	0	1	12150	-6425
MRPL30	0	0	12151	-217
GMPR2	0	0	12152	-217
REEP2	0	1	12153	-6427
ARL6IP4	0	0	12154	-218
SNX7	0	0	12155	-218
HPCAL4	0	0	12156	-218
ISYNA1	0	0	12157	-218
TRIAP1	0	0	12158	-218
JKAMP	0	0	12159	-218
PEX5L	0	0	12160	-218
LIPT1	0	0	12161	-218
YPEL5	0	0	12162	-217
STYXL1	0	1	12163	-6436
ATP8A2	0	0	12164	-218
FBXO42	0	0	12165	-218
RSBN1	0	0	12166	-217
HYDIN	0	0	12167	-217
ZNF280D	0	0	12168	-217
TTC19	0	0	12169	-217
KANSL2	0	0	12170	-215
MRPL16	0	0	12171	-215
COMMD8	0	0	12172	-215
TTC12	0	0	12173	-215
C20orf27	0	1	12174	-6445
TESC	0	0	12175	-216
PARPBP	0	0	12176	-216
HEATR3	0	0	12177	-216
NOL8	0	1	12178	-6448
OXR1	0	0	12179	-217
TAPBPL	0	0	12180	-217
CXorf57	0	0	12181	-217
CCDC186	0	0	12182	-217
LARP1B	0	0	12183	-217
CENPQ	0	0	12184	-216
INTS10	0	0	12185	-216
KLHL11	0	0	12186	-216
DPPA4	0	0	12187	-216
LEPREL1	0	0	12188	-216
USP40	0	0	12189	-216
ETNK1	0	0	12190	-215
PLXNA3	0	0	12191	-215
PRR5	0	0	12192	-215
ASAP3	0	0	12193	-215
TASP1	0	0	12194	-215
DOK4	0	1	12195	-6464
DHX32	0	1	12196	-6464
PRR11	0	0	12197	-217
PLGRKT	0	0	12198	-216
CBWD1	0	1	12199	-6465
ZNF395	0	0	12200	-216
LIN37	0	0	12201	-216
PCDHA6	0	0	12202	-216
NDNL2	0	0	12203	-216
SLC2A4RG	0	0	12204	-215
SPIRE1	0	0	12205	-215
STARD7	0	0	12206	-215
MAP3K7CL	0	0	12207	-215
OLFML3	0	0	12208	-215
PRTFDC1	0	0	12209	-215
SLC12A9	0	1	12210	-6475
YAE1D1	0	0	12211	-216
PLSCR4	0	1	12212	-6476
PARP11	0	0	12213	-216
PHTF2	0	0	12214	-216
SLC39A10	0	0	12215	-216
SNX14	0	0	12216	-216
CSRP2BP	0	1	12217	-6479
SENP7	0	0	12218	-217
ZNF512B	0	0	12219	-216
PLEKHG1	0	0	12220	-216
BEGAIN	0	0	12221	-215
CAMSAP3	0	0	12222	-215
KIAA1549	0	0	12223	-215
RBAK	0	0	12224	-215
RAB40C	0	0	12225	-215
C6orf47	0	0	12226	-215
TRAPPC1	0	0	12227	-215
ZNF71	0	0	12228	-215
DLGAP3	0	0	12229	-215
RRAGD	0	0	12230	-215
ATG101	0	2	12231	-8594
ZFAND3	0	0	12232	-216
FAM111A	0	0	12233	-216
PCIF1	0	0	12234	-216
POPDC3	0	0	12235	-216
DNAJC1	0	0	12236	-216
TOR3A	0	0	12237	-216
ARHGAP9	0	1	12238	-6498
CHST8	0	0	12239	-216
MTMR14	0	0	12240	-216
SUSD1	0	0	12241	-216
NARFL	0	0	12242	-216
GIGYF1	0	0	12243	-216
PLEKHG2	0	0	12244	-216
PCDH20	0	0	12245	-216
CDK15	0	0	12246	-215
C5orf42	0	0	12247	-215
COLEC11	0	0	12248	-214
CENPM	0	1	12249	-6508
NABP2	0	0	12250	-215
DSCC1	0	0	12251	-215
TMUB2	0	0	12252	-215
APOO	0	1	12253	-6511
CCDC28B	0	1	12254	-6511
CRELD2	0	1	12255	-6511
DCAF10	0	0	12256	-218
HAUS3	0	0	12257	-218
EPS8L3	0	0	12258	-218
DHX40	0	0	12259	-218
E2F8	0	0	12260	-218
NAA40	0	0	12261	-217
NEK11	0	0	12262	-217
DCAKD	0	0	12263	-217
WDR76	0	0	12264	-217
ATAT1	0	0	12265	-217
ESRP2	0	0	12266	-217
SEMA6D	0	0	12267	-217
PGAP1	0	0	12268	-217
BICC1	0	0	12269	-217
CCDC33	0	0	12270	-217
TRIM46	0	0	12271	-217
RPF1	0	0	12272	-217
NUBPL	0	0	12273	-216
C16orf70	0	0	12274	-216
EFHD1	0	0	12275	-216
TRABD	0	0	12276	-216
FLAD1	0	0	12277	-216
SPHKAP	0	0	12278	-216
ZKSCAN3	0	0	12279	-216
PABPC1L	0	0	12280	-216
BPIFB2	0	0	12281	-216
REEP4	0	0	12282	-216
PBX4	0	0	12283	-216
B9D2	0	0	12284	-216
VWA9	0	0	12285	-216
TSPAN14	0	0	12286	-215
TSC22D4	0	0	12287	-215
CCNL2	0	1	12288	-6543
PPP1R14C	0	1	12289	-6543
NETO1	0	1	12290	-6543
SFXN3	0	0	12291	-218
CALN1	0	2	12292	-8653
SH3BGRL2	0	0	12293	-218
INHBE	0	0	12294	-218
EMILIN2	0	0	12295	-218
RHBDD1	0	0	12296	-217
SYT3	0	1	12297	-6546
RPAIN	0	0	12298	-218
FAM120B	0	0	12299	-218
DCTN5	0	0	12300	-218
RHOXF2	0	0	12301	-218
TMEM185A	0	0	12302	-218
KIF2B	0	0	12303	-218
HES7	0	0	12304	-218
GPT2	0	0	12305	-218
SUV420H2	0	0	12306	-217
PPP1R15B	0	0	12307	-216
HSH2D	0	0	12308	-216
ARHGAP19	0	0	12309	-214
ATCAY	0	0	12310	-214
ZCCHC3	0	0	12311	-213
WDR34	0	0	12312	-213
FAM110B	0	0	12313	-213
BTF3L4	0	0	12314	-213
MYADM	0	0	12315	-213
MARVELD3	0	0	12316	-213
CDHR1	0	0	12317	-213
PGAP3	0	0	12318	-213
HAUS8	0	0	12319	-213
TBCK	0	0	12320	-213
ARHGAP18	0	0	12321	-213
ORMDL1	0	0	12322	-213
CEP41	0	0	12323	-213
MRAP2	0	1	12324	-6572
PALM2	0	0	12325	-214
CSMD3	0	0	12326	-214
SLC25A25	0	0	12327	-214
ELFN2	0	0	12328	-214
KLHL29	0	0	12329	-214
FBXO17	0	0	12330	-214
LRRC42	0	0	12331	-214
ARHGAP33	0	0	12332	-213
RMI2	0	0	12333	-213
CMTM5	0	0	12334	-213
HSPA12B	0	0	12335	-213
MUCL1	0	0	12336	-213
KRT74	0	0	12337	-213
EARS2	0	0	12338	-213
ZPBP2	0	0	12339	-213
GIPC3	0	0	12340	-213
MRPL55	0	0	12341	-212
TSHZ2	0	0	12342	-212
SCLT1	0	0	12343	-212
LSM11	0	0	12344	-212
RAET1E	0	1	12345	-6590
ASB7	0	0	12346	-212
KRT72	0	0	12347	-211
DEFB127	0	0	12348	-211
SYT9	0	0	12349	-211
LACC1	0	0	12350	-211
